density,radius,particles,particle_times
19.1,0.5,10,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,0.5,100,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,0.5,1000,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.0,10,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.0,100,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.0,1000,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.5,10,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.5,100,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.1,1.5,1000,[0.00000000e+00 4.17333555e-08 0.00000000e+00 ... 4.61782830e-08
 0.00000000e+00 1.28799062e-07]
19.5,0.5,10,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,0.5,100,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,0.5,1000,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.0,10,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.0,100,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.0,1000,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.5,10,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.5,100,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
19.5,1.5,1000,[0.00000000e+00 4.08772867e-08 0.00000000e+00 ... 4.52310362e-08
 0.00000000e+00 1.26157030e-07]
20.0,0.5,10,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,0.5,100,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,0.5,1000,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.0,10,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.0,100,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.0,1000,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.5,10,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.5,100,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
20.0,1.5,1000,[0.00000000e+00 3.98553545e-08 0.00000000e+00 ... 4.41002603e-08
 0.00000000e+00 1.23003104e-07]
